perfect_match(name = John, sex = m, starsign = gemini, rating = 1.2)
perfect_match(name = Sam, sex = m, starsign = scorpio, rating = 0.3)
perfect_match(name = Jenny, sex = f, starsign = gemini, rating = 0.8)
perfect_match(name = Andrew, sex = m, starsign = virgo, rating = 0.6)
perfect_match(name = Ingrid, sex = f, starsign = cancer, rating = 1.0)
perfect_match(name = Jack, sex = m, starsign = pices, rating = 0.3)
perfect_match(name = Sonia, sex = f, starsign = gemini, rating = 0.5)
perfect_match(name = Alex, sex = m, starsign = aquarius, rating = 1.0)
perfect_match(name = Jill, sex = f, starsign = cancer, rating = 0.3)
perfect_match(name = Fiona, sex = f, starsign = gemini, rating = 0.8)
perfect_match(name = melissa, sex = f, starsign = virgo, rating = 0.3)
perfect_match(name = Tom, sex = m, starsign = cancer, rating = 1.0)
